timestep,demand_el,pv,demand_th
1,209643.3415769,0,0.1469452338
2,207497.2007709,0,0.1500444621
3,200108.0148989,0,0.1569258683
4,191892.6802004,0,0.1740503842
5,185717.3331069,0,0.2175136794
6,180672.7483735,0,0.2993166845
7,172683.5661471,0,0.3541620446
8,170048.1975444,0,0.3316082816
9,171132.8063389,0,0.3062301219
10,179532.7553002,0.062188,0.2851263663
11,189155.7737532,0.15426,0.2630026701
12,201026.4708567,0.16016,0.2502968704
13,208466.425651,0.1036,0.2435902264
14,207718.7378864,0.084862,0.2437331516
15,205443.3670963,0.052101,0.246778243
16,206255.669853,0.014673,0.2542671496
17,217240.2184947,0,0.2675343843
18,232798.5854994,0,0.2856671632
19,237321.6349401,0,0.297276272
20,232387.8187645,0,0.2837494791
21,224306.3294067,0,0.2626769986
22,219280.2060996,0,0.2184679538
23,223701.7176957,0,0.1507227637
24,213926.3924759,0,0.1441735159
25,201834.1582569,0,0.1727600376
26,192215.7551605,0,0.1774486003
27,187152.7090008,0,0.1849768878
28,184355.8029181,0,0.198377213
29,184438.8793364,0,0.2334336342
30,182786.5816836,0,0.3090781543
31,180105.0595152,0,0.3621553123
32,191509.6056049,0,0.3496276187
33,207104.8954623,0,0.3293109494
34,222501.724987,0.047766,0.3112578832
35,231127.8264203,0.12973,0.2890211734
36,238410.8590912,0.15324,0.2756799032
37,241184.688391,0.12837,0.2672108186
38,237413.9420716,0.10443,0.2659853869
39,234469.3445786,0.063981,0.2701684451
40,235193.9555604,0.019217,0.2793290922
41,242730.8328427,0,0.2895400515
42,264196.8562598,0,0.3060718235
43,265950.6917572,0,0.3194935864
44,260283.0338866,0,0.308095897
45,245578.5078477,0,0.2873532149
46,238849.3179655,0,0.2461959584
47,241553.9169168,0,0.1766938357
48,231372.4403186,0,0.1696068341
49,218135.5976697,0,0.1655940671
50,208761.8084717,0,0.1700881514
51,201492.6218705,0,0.1773041705
52,194421.895602,0,0.1901486592
53,192118.8326725,0,0.2237509635
54,187983.4731838,0,0.2962577996
55,181517.3586262,0,0.3471333528
56,185246.5667365,0,0.3351252995
57,191874.2187741,0,0.315651352
58,202715.6913621,0.063357,0.2983471149
59,213700.2400039,0.1452,0.2770327689
60,225649.3981692,0.13022,0.2642448856
61,229346.2987835,0.052762,0.256127093
62,223484.7959368,0.04271,0.2549524913
63,219326.3596653,0.025526,0.2589620391
64,218684.8251018,0.0066043,0.2677427087
65,230273.9854545,0,0.2775301242
66,249824.6358941,0,0.2933761694
67,254873.835984,0,0.3062412067
68,249547.7144998,0,0.2953162858
69,239841.6196285,0,0.2754339962
70,235807.7979845,0,0.2359839151
71,240723.1527338,0,0.1693646938
72,229821.6805104,0,0.1625716563
73,217863.2916319,0,0.1655940671
74,207418.7397092,0,0.1700881514
75,201935.6961014,0,0.1773041705
76,199406.4806999,0,0.1901486592
77,201095.7012053,0,0.2237509635
78,205706.4424209,0,0.2962577996
79,222427.8792818,0,0.3471333528
80,247180.0365783,0,0.3351252995
81,262415.3286229,0,0.315651352
82,271932.1938747,0.01319,0.2983471149
83,278416.7698586,0.039835,0.2770327689
84,283821.3524046,0.047415,0.2642448856
85,285838.2632266,0.038888,0.256127093
86,282782.8971759,0.031488,0.2549524913
87,279990.6064497,0.01869,0.2589620391
88,278126.0023946,0.0044696,0.2677427087
89,283147.5103451,0,0.2775301242
90,300847.4027993,0,0.2933761694
91,299767.4093614,0,0.3062412067
92,294953.5924566,0,0.2953162858
93,281296.7523596,0,0.2754339962
94,273252.1858544,0,0.2359839151
95,269292.2099155,0,0.1693646938
96,256387.6729397,0,0.1625716563
97,245984.6592261,0,0.1794790773
98,236135.4883011,0,0.1843499891
99,229480.1441241,0,0.1921710692
100,225792.4742229,0,0.2060925642
101,227089.3894197,0,0.2425124111
102,233721.6568139,0,0.3210989225
103,252852.3098054,0,0.3762403747
104,281499.8280488,0,0.3632254499
105,295244.3599207,0,0.3421186181
106,298996.6448138,0.038505,0.3233634261
107,301895.0887412,0.10504,0.300261879
